type,tel,areaname,lat,lng
police,0302401999,Achimota Mile 7 Police Station,,
police,0302400505,Achimota School Police Station,,
police,0302224879,Kotobabi Dist Office,,
police,0302235144,Tesano     Police Station,,
police,0302221293,Nima Police Station,,
police,0302221763,Nima Police Station,,
police,030226637,Nima District Commander,,
police,0302227976,Nima Divisional Commander,,
police,0302222264,Asylum down Police Station,,
police,0302301319,Weija Police Station,,
police,0302402999,Atomic Police Station,,
police,0302303638,Dansoman Police Station,,
police,0302221131,Darkuman Police Station,,
police,0302316646,Mamprobi Police Station,,
police,0302662416,James Town Police Station,,
police,0302776150,Osu Police Station,,
police,0302775525,La Police Station,,
police,0302303067,Odorkor Police Station,,
police,03029911929,Anyaa Police Station,,
police,0302256989,Neoplan Station,,
police,0303303881,Community 7 Barrier Tema,,
police,0303202936,Information Room Tema,,
police,0303202259,Regional Commander Tema,,
police,0303202939,Crime Office Tema,,
police,0303401193,Sakumono Police Station Tema,,
police,0303202835,Community 1 Police Station Tema,,
police,0303202510,Community 2 Police Station Tema,,
police,0303204801,Community 4 Police Station Tema,,
police,0303306714,Community 8 Police Station Tema,,
police,0303811600,Community 18 Police Station Tema,,
police,0303205502,Fishing Harbor Police Station Tema,,
police,0303208843,Prampram Police Station Tema,,
police,0303208845,Prampram Police Station Tema,,
police,0303522378,Big Ada Police Station Tema,,
police,0303522218/22300,Ada Foa Police Station Tema,,
police,0303208722,Kpone Police Station Tema,,
police,0303306872,Ashaiman Police Station Tema,,
police,0303208895,Afienya Police Station Tema,,
police,03022020961,New Edubiase Police Station Ashanti Region,,
police,0322540207,Central Police Station Obuasi Ashanti Region,,
police,0322540278,Obuas Railway Police Station Ashanti Region,,
police,0322540393,District Commander Obuasi Ashanti Region,,
police,0322540391,Tutuka Police Station Obuasi Ashanti Region,,
police,0322029020,Zongo Police Station Kumasi Ashanti Region,,
police,0322022827,Deputy Sup.  Striking Force Ashanti Region,,
police,0322026333,Chief Sup Reg. Comm. Div. Ashanti Ashanti Region,,
police,0322022323,Information Room Ashanti Region,,
police,0322025463,M.T.U. Charge Office Ashanti Region,,
police,0322022324,Buffalo Central Police Station Ashanti Region,,
police,0322025216/22850,Suame Police Station Ashanti Region,,
police,0322023723/24939,Manhyia Police Station Ashanti Region,,
police,0322024528/22588,Asawasi Police Station Ashanti Region,,
police,0322022577,New Tafo Police Station Ashanti Region,,
police,0322025143,Old Tafo  Police Station Ashanti Region,,
police,0322025007,Mobile Force Ashanti Region,,
police,0322023281,Asokwa Police Station Ashanti Region,,
police,0322025897,Asokwa Police Station Ashanti Region,,
police,0322022167,Suntreso Police Station Ashanti Region,,
police,0322025111,Railways Police Station Ashanti Region,,
police,0322021341,Oforikrom Police Station Ashanti Region,,
police,0322060051,U.S.T. Charge Office Ashanti Region,,
police,0322024376,B. N. I. Office Ashanti Region,,
police,0322025441,Regional C. I. D. Office Ashanti Region,,
police,0322091836,Kejetia Police Station Ashanti Region,,
police,0322020196,Ejisu Police Station Ashanti Region,,
police,0322047106,Tepa Police Station Ashanti Region,,
police,0322020955,Fomena Police Station Ashanti Region,,
police,0322020950,Fomena District Office Ashanti Region,,
police,0322420201,Bekwai Police Station Ashanti Region,,
police,0322420208,Bekwai Police Station Ashanti Region,,
police,0322050304,Abuakwa Police Station Ashanti Region,,
police,0322124233,Konongo Police Station Ashanti Region,,
police,0242723552,Pra River Police Station Ashanti Region,,
police,0249171964,Pra River Police Station Ashanti Region,,
police,0322222203,Mampong Ashanti Police Station Ashanti Region,,
police,0322222394,District Office Mampong Ashanti Region,,
police,0322222664,Mampong  Nsuta Police Station Ashanti Region,,
police,0322322043,Ejura Police Station Ashanti Region,,
police,0322322002,District Office Ashanti Region,,
police,0382022304,Bolgatanga Police Station Upper East Region,,
police,0382022364,Regional Commissioner Upper East Region,,
police,0382023003,M.T.U. Office Upper East Region,,
police,0382023234,District Office Bolgatanga Upper East Region,,
police,0382222251,Bawku Police Station Upper East Region,,
police,0382222268,Bawku Police Station Upper East Region,,
police,0382122673,Navrongo Police Station Upper East Region,,
